Wall time,Step,Value
1747053147.5964863,672000,-110.34713745117188
1747053173.3541386,684000,-108.80931091308594
1747053199.71199,696000,-110.25080871582031
1747053225.9480603,708000,-110.62431335449219
1747053252.2219245,720000,-110.67633819580078
1747053277.51424,732000,-108.86812591552734
1747053302.8684533,744000,-110.79557037353516
1747053331.4815648,756000,-110.14822387695312
1747053359.4298816,768000,-110.58120727539062
1747053386.1227765,780000,-110.56670379638672
1747053412.1521795,792000,-109.5545425415039
1747053441.1351469,804000,-111.1414794921875
1747053471.7721014,816000,-109.63666534423828
1747053501.6290061,828000,-110.93647766113281
1747053531.7442756,840000,-110.9740219116211
1747053560.0531633,852000,-110.82666015625
1747053588.617935,864000,-110.04460144042969
1747053615.4980288,876000,-110.08171844482422
1747053642.7029834,888000,-110.07936096191406
1747053670.3627257,900000,-111.2291488647461
1747053698.1241052,912000,-111.11896514892578
1747053725.7230344,924000,-109.31765747070312
1747053754.7173226,936000,-111.04002380371094
1747053779.0389433,948000,-109.96443176269531
1747053804.2486515,960000,-108.87684631347656
1747053832.3038015,972000,-112.13361358642578
1747053859.9818537,984000,-110.18697357177734
1747053886.7390153,996000,-111.15898132324219
1747053915.6843188,1008000,-110.09379577636719
1747053943.5219119,1020000,-110.25241088867188
1747053972.1704333,1032000,-110.46902465820312
1747054001.0120409,1044000,-112.22936248779297
1747054028.40273,1056000,-111.89383697509766
1747054055.6790504,1068000,-111.89057159423828
1747054082.1145613,1080000,-110.26570892333984
1747054108.1545882,1092000,-108.67803955078125
1747054134.5729618,1104000,-111.43643188476562
1747054184.0410202,1116000,-108.15641784667969
1747054209.6999717,1128000,-110.78768920898438
1747054237.5118287,1140000,-111.04393768310547
1747054265.2158456,1152000,-112.05622100830078
1747054293.5593197,1164000,-110.55734252929688
1747054321.3329546,1176000,-111.7181396484375
1747054352.1397314,1188000,-112.1013412475586
1747054381.6638732,1200000,-112.42720794677734
1747054410.5478535,1212000,-112.14813232421875
1747054439.365222,1224000,-112.54176330566406
1747054468.2872128,1236000,-111.8528060913086
1747054496.5147655,1248000,-110.63179016113281
1747054525.4021058,1260000,-110.37991333007812
1747054551.9176252,1272000,-110.18933868408203
1747054579.6752715,1284000,-110.36454772949219
1747054609.0634398,1296000,-113.07257843017578
1747054637.7958903,1308000,-112.10529327392578
1747054665.0139406,1320000,-110.25504302978516
1747054697.068566,1332000,-109.73138427734375
1747054726.5423734,1344000,-113.32486724853516
1747054755.7142894,1356000,-113.20829010009766
1747054785.282729,1368000,-110.7912826538086
1747054815.615403,1380000,-112.17053985595703
1747054823.7763708,1392000,-110.56045532226562
1747054850.7188365,1404000,-113.31224060058594
1747054875.2689292,1416000,-112.92098236083984
1747054902.291797,1428000,-111.3043212890625
1747054930.446258,1440000,-111.96963500976562
1747054958.8493,1452000,-110.62026977539062
1747054987.5117989,1464000,-114.23914337158203
1747055015.467308,1476000,-111.25885772705078
1747055043.7949026,1488000,-113.48405456542969
1747055071.838853,1500000,-111.86074829101562
1747055100.0798926,1512000,-111.3757095336914
1747055127.9729133,1524000,-112.04129028320312
1747055156.5699487,1536000,-114.23763275146484
1747055184.4299076,1548000,-113.26121520996094
1747055212.951723,1560000,-109.9465103149414
1747055238.4954226,1572000,-113.83023071289062
1747055264.5646055,1584000,-108.20487976074219
1747055289.8098872,1596000,-111.69377136230469
1747055315.4816487,1608000,-109.08555603027344
1747055339.7129805,1620000,-111.76075744628906
1747055361.0847025,1632000,-112.10346984863281
1747055386.7591882,1644000,-109.8111343383789
1747055412.1319966,1656000,-111.41028594970703
1747055437.6524494,1668000,-115.36527252197266
1747055463.9094648,1680000,-111.65701293945312
1747055489.4522245,1692000,-110.98416900634766
1747055515.6499195,1704000,-112.15885925292969
1747055540.7664778,1716000,-114.3590316772461
1747055564.000862,1728000,-111.47775268554688
1747055586.2807393,1740000,-113.74324035644531
1747055611.2677882,1752000,-113.02657318115234
1747055636.130459,1764000,-111.7640609741211
1747055663.9355457,1776000,-114.87246704101562
1747055691.462995,1788000,-114.74744415283203
1747055719.5633621,1800000,-109.53218841552734
1747055748.8041718,1812000,-112.77747344970703
1747055777.144237,1824000,-113.38578033447266
1747055805.0458283,1836000,-112.01229095458984
1747055833.1374302,1848000,-112.8719711303711
1747055862.1543,1860000,-115.29517364501953
1747055890.336613,1872000,-113.48368835449219
1747055917.7181277,1884000,-111.0130386352539
1747055942.6560285,1896000,-115.67477416992188
1747055967.307645,1908000,-113.78836822509766
1747055991.4773564,1920000,-113.7415542602539
1747056016.3989327,1932000,-115.16812133789062
1747056041.7337797,1944000,-113.52835083007812
1747056066.7778826,1956000,-114.51754760742188
1747056093.1742427,1968000,-115.39573669433594
1747056119.8028994,1980000,-113.44573211669922
1747056146.909561,1992000,-113.82342529296875
1747056174.819436,2004000,-114.24614715576172
1747056202.0636518,2016000,-115.79344177246094
1747056229.8138452,2028000,-113.84989929199219
1747056255.7383828,2040000,-110.45662689208984
1747056281.7463298,2052000,-110.67438507080078
1747056309.071341,2064000,-108.68292236328125
1747056335.5077188,2076000,-112.9997787475586
1747056361.9295776,2088000,-113.41777038574219
1747056387.522113,2100000,-112.58964538574219
1747056413.605214,2112000,-114.5553970336914
1747056440.4980202,2124000,-116.4185791015625
1747056466.4594426,2136000,-113.14521789550781
1747056491.6200483,2148000,-114.42046356201172
1747056518.332471,2160000,-112.90138244628906
1747056544.8427315,2172000,-112.56072998046875
1747056570.4413874,2184000,-112.22856140136719
1747056595.2954433,2196000,-111.6377944946289
1747056620.1432931,2208000,-114.7677001953125
1747056645.5385056,2220000,-112.72610473632812
1747056671.0462356,2232000,-112.5524673461914
1747056699.2666776,2244000,-115.33586883544922
1747056724.8373976,2256000,-114.5036849975586
1747056751.3386798,2268000,-117.16404724121094
1747056778.9853399,2280000,-113.82758331298828
1747056806.7421775,2292000,-115.09223937988281
1747056833.1660216,2304000,-114.24098205566406
1747056860.7061899,2316000,-111.31163024902344
1747056887.7480204,2328000,-114.53917694091797
1747056913.592701,2340000,-103.98057556152344
1747056938.2501261,2352000,-114.65189361572266
1747056965.0012832,2364000,-111.50850677490234
1747056989.3263907,2376000,-116.4990463256836
1747057016.855885,2388000,-114.65403747558594
1747057042.7578068,2400000,-114.49520874023438
1747057068.2404833,2412000,-117.37649536132812
1747057098.0047615,2424000,-109.6143798828125
1747057122.072124,2436000,-112.87337493896484
1747057145.743098,2448000,-111.61736297607422
1747057169.288657,2460000,-115.24634552001953
1747057193.6052735,2472000,-117.04462432861328
1747057217.6463366,2484000,-115.32534790039062
1747057242.317868,2496000,-112.3814697265625
1747057266.0158162,2508000,-113.64598846435547
1747057291.1145537,2520000,-115.43599700927734
1747057316.8311026,2532000,-115.43321990966797
1747057339.9868927,2544000,-107.50906372070312
1747057368.6979504,2556000,-114.85722351074219
1747057397.494738,2568000,-113.72420501708984
1747057425.240003,2580000,-117.00293731689453
1747057453.4711895,2592000,-113.15663146972656
1747057482.1629708,2604000,-113.16463470458984
1747057510.4896069,2616000,-111.40960693359375
1747057538.993154,2628000,-114.84498596191406
1747057569.8915722,2640000,-114.93829345703125
1747057599.1895354,2652000,-113.54307556152344
1747057627.5268104,2664000,-116.79190826416016
1747057656.8666065,2676000,-112.6149673461914
1747057685.5547369,2688000,-112.52851867675781
1747057715.1822639,2700000,-112.89997100830078
1747057743.2402887,2712000,-113.27342224121094
1747057769.388591,2724000,-116.65755462646484
1747057795.069965,2736000,-110.1444320678711
1747057820.2577302,2748000,-114.42449188232422
1747057846.2402558,2760000,-114.99334716796875
1747057871.0229478,2772000,-114.75262451171875
1747057878.081012,2784000,-113.99920654296875
1747057902.605067,2796000,-116.25255584716797
1747057927.6601691,2808000,-112.4288330078125
1747057952.4246678,2820000,-116.45122528076172
1747057977.7498589,2832000,-117.31888580322266
1747058004.702161,2844000,-114.36808013916016
1747058031.9653108,2856000,-114.02495574951172
1747058065.5910034,2868000,-119.0668716430664
1747058092.8005347,2880000,-117.37029266357422
1747058119.9532826,2892000,-112.28433227539062
1747058150.1969872,2904000,-117.50379943847656
1747058179.2628462,2916000,-112.71498107910156
1747058208.852444,2928000,-116.85208892822266
1747058240.5664876,2940000,-115.34613800048828
1747058274.7195706,2952000,-115.56841278076172
1747058308.8838768,2964000,-116.35625457763672
1747058341.8610342,2976000,-114.69873809814453
1747058369.233849,2988000,-117.70835876464844
1747058397.8848588,3000000,-116.34774780273438
1747058426.0070295,3012000,-116.0506591796875
1747058454.1550953,3024000,-117.88871002197266
1747058483.600154,3036000,-116.54093933105469
1747058511.1492598,3048000,-120.09526062011719
1747058539.5603352,3060000,-117.14360046386719
1747058567.3581147,3072000,-116.34474182128906
1747058594.9010646,3084000,-119.1551513671875
1747058622.6328201,3096000,-119.64189147949219
1747058649.9003735,3108000,-114.87287139892578
1747058678.454099,3120000,-113.56089782714844
1747058705.1949625,3132000,-112.28263092041016
1747058732.757966,3144000,-117.27303314208984
1747058760.1603112,3156000,-118.4021987915039
1747058785.9992914,3168000,-116.33484649658203
1747058812.6820974,3180000,-114.40369415283203
1747058840.6170669,3192000,-114.06623840332031
1747058868.357766,3204000,-118.5779037475586
1747058896.5893767,3216000,-117.54740142822266
1747061978.2579155,3228000,-107.89146423339844
1747062004.8615406,3240000,-116.58354949951172
1747062030.2925706,3252000,-119.07366943359375
1747062054.920017,3264000,-115.42315673828125
1747062079.2287288,3276000,-117.8660659790039
1747062103.7993386,3288000,-116.44869232177734
1747062128.0019608,3300000,-121.84613800048828
1747062153.06631,3312000,-117.737060546875
1747062176.6630845,3324000,-120.98043823242188
1747062201.2335148,3336000,-115.31502532958984
1747062227.0975657,3348000,-115.23236846923828
1747062251.8355238,3360000,-116.48499298095703
1747062276.4710813,3372000,-109.61046600341797
1747062301.3758209,3384000,-106.02452087402344
1747062327.5378966,3396000,-117.66600799560547
1747062355.5802195,3408000,-116.66435241699219
1747062384.4360654,3420000,-114.60939025878906
1747062409.7351792,3432000,-118.78343200683594
1747062437.7734895,3444000,-121.56666564941406
1747062465.392219,3456000,-114.39873504638672
1747062494.1823087,3468000,-120.33403778076172
1747062500.1395535,3480000,-116.33769226074219
1747062526.523868,3492000,-115.913818359375
1747062553.4634168,3504000,-115.22200012207031
1747062581.1086109,3516000,-117.50154876708984
1747062607.1620612,3528000,-120.72692108154297
1747062633.0701993,3540000,-114.8304214477539
1747062658.4955857,3552000,-118.22579193115234
1747062698.3001883,3564000,-111.88479614257812
1747062744.9043415,3576000,-117.66413879394531
1747062790.3392606,3588000,-111.0748062133789
1747062829.2976835,3600000,-116.89502716064453
1747062875.9821532,3612000,-114.0792236328125
1747062924.9234698,3624000,-110.30462646484375
1747062970.1167521,3636000,-120.92980194091797
1747063021.4000804,3648000,-119.0736083984375
1747063072.171401,3660000,-123.11136627197266
1747063116.645375,3672000,-112.74308776855469
1747063168.1347945,3684000,-113.20265197753906
1747063222.5952137,3696000,-118.48649597167969
1747063272.3437114,3708000,-119.23035430908203
1747063322.4599347,3720000,-120.05751037597656
1747063374.9230285,3732000,-121.70206451416016
1747063431.1396532,3744000,-116.63347625732422
1747063488.385342,3756000,-116.65553283691406
1747063543.4132862,3768000,-121.1920166015625
1747063603.6904943,3780000,-121.17031860351562
1747063652.5872612,3792000,-116.98572540283203
1747063709.838065,3804000,-119.09996032714844
1747064991.2044165,3816000,-107.611572265625
1747065024.49236,3828000,-115.69561004638672
1747065052.0120842,3840000,-114.80668640136719
1747065078.0323226,3852000,-118.81586456298828
1747065104.4284105,3864000,-120.36063385009766
1747065130.864552,3876000,-125.55542755126953
1747065159.2987456,3888000,-123.30994415283203
1747065187.1088893,3900000,-117.97035217285156
1747065213.1374145,3912000,-120.80445098876953
1747065219.9419868,3924000,-122.16069793701172
1747065245.3693237,3936000,-126.70449829101562
1747065271.6052463,3948000,-123.58965301513672
1747065297.8133755,3960000,-127.24113464355469
1747065323.2200496,3972000,-125.26303100585938
1747065349.6689723,3984000,-122.30530548095703
1747065376.3046517,3996000,-121.87456512451172
1747065402.565402,4008000,-121.3409194946289
1747065428.6455202,4020000,-122.62367248535156
1747065454.8427484,4032000,-118.2275619506836
1747065483.1170764,4044000,-123.54972839355469
1747065508.6885061,4056000,-124.31063842773438
1747065533.0025074,4068000,-119.4263916015625
1747065557.0719593,4080000,-122.42332458496094
1747065583.0677905,4092000,-123.27857971191406
1747065609.629429,4104000,-116.45391082763672
1747065635.568221,4116000,-123.64606475830078
1747065661.2754712,4128000,-120.44476318359375
1747065687.7843077,4140000,-123.62738037109375
1747065713.4624891,4152000,-121.12567901611328
1747065738.447926,4164000,-115.67764282226562
1747065764.196353,4176000,-125.1881103515625
1747065789.1601703,4188000,-118.22989654541016
1747065813.6366398,4200000,-123.2106704711914
1747065838.3000233,4212000,-123.43295288085938
1747065862.4204726,4224000,-122.03187561035156
1747065887.5743735,4236000,-120.6773681640625
1747065913.2289505,4248000,-121.40560150146484
1747065936.9199173,4260000,-121.67290496826172
1747068896.6975818,4272000,-112.77543640136719
1747068939.8914077,4284000,-118.98716735839844
1747068965.2527535,4296000,-120.5791244506836
1747068990.4322329,4308000,-115.24432373046875
1747069015.739963,4320000,-120.45765686035156
1747069041.64389,4332000,-123.98910522460938
1747069068.0297775,4344000,-120.32152557373047
1747069092.848245,4356000,-118.99308013916016
1747069117.184696,4368000,-115.61173248291016
1747069142.3639657,4380000,-118.81379699707031
1747069167.6820269,4392000,-120.31782531738281
1747069192.4069278,4404000,-114.64401245117188
1747069216.8695116,4416000,-120.3492202758789
1747069241.789968,4428000,-119.7551498413086
1747069267.1184523,4440000,-116.12689971923828
1747069291.3213906,4452000,-119.10363006591797
1747069317.0271664,4464000,-119.65735626220703
1747069343.3486598,4476000,-116.82992553710938
1747069385.016762,4488000,-119.85750579833984
1747069411.570482,4500000,-120.97080993652344
1747069452.7916741,4512000,-119.77932739257812
1747069479.4747164,4524000,-122.15708923339844
1747069504.992185,4536000,-124.70893096923828
1747069529.927899,4548000,-118.75106811523438
1747069554.8893197,4560000,-121.46617126464844
1747069580.0587678,4572000,-118.00645446777344
1747069605.7056074,4584000,-117.82969665527344
1747069632.1792567,4596000,-121.23454284667969
1747069685.8443081,4608000,-114.13440704345703
1747069714.3027656,4620000,-118.23461151123047
1747069743.3966093,4632000,-122.58296966552734
1747069768.6854203,4644000,-122.34645080566406
1747069793.2271607,4656000,-121.99706268310547
1747069817.6722198,4668000,-123.552001953125
1747069842.2305343,4680000,-123.28653717041016
1747069866.9588978,4692000,-118.2177734375
1747069892.7973225,4704000,-121.26642608642578
1747069917.1318374,4716000,-122.4921646118164
1747069942.1072407,4728000,-121.57666778564453
1747069967.1468954,4740000,-124.1507339477539
1747069992.0730317,4752000,-114.8877182006836
